id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1482849426951573508,1482849426951573508,2022-01-16 17:57:08 Eastern Standard Time,2022-01-16,17:57:08,-0400,302045293,alpsoy66,Alp,,"Oh man, Tesla white noise is deafening prior to FY financial results!. Incredible!.. Ford’s name is popping up in almost every FUD campaign. NYT anti- FSD autopilot ad, CR rigged autopilot Review. Cybertruck alleged delay. Ford is playing dirtier and dirtier! $tsla @elonmusk",en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],[],38,29,372,[],['tsla'],https://twitter.com/Alpsoy66/status/1482849426951573508,False,,0,,,,,,,,[],,,,
1482681359370002436,1482681315111616514,2022-01-16 06:49:17 Eastern Standard Time,2022-01-16,06:49:17,-0400,998140573008695296,28delayslater,🇺🇦 🦊 Earl of FrunkPuppy 🇺🇦,,The Cybertruck delay (of a month or so?) rumor is used to smear Tesla and Elon. To let you know that the truck will never exist and if it does it’s now too late and competition will take all of the sales (despite their stated low production plans and massive Cybertruck orders)  https://t.co/4dny64mfB3,en,[],[],['https://pbs.twimg.com/media/FJOK1ooXoAYMbx0.jpg'],1,1,117,[],[],https://twitter.com/28delayslater/status/1482681359370002436,False,,1,https://pbs.twimg.com/media/FJOK1ooXoAYMbx0.jpg,,,,,,,[],,,,
1482200213993373696,1482200213993373696,2022-01-14 22:57:23 Eastern Standard Time,2022-01-14,22:57:23,-0400,1332487276471808000,theblakecheck,Blake Check 🇺🇦,,Plot twist: Cybertruck delays accelerate the world's transition to sustainable energy by motivating legacy auto to build more electric trucks faster to beat @Tesla to market.,en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",[],[],15,13,220,[],[],https://twitter.com/TheBlakeCheck/status/1482200213993373696,False,,0,,,,,,,,[],,,,
1481904535085928452,1481904535085928452,2022-01-14 03:22:28 Eastern Standard Time,2022-01-14,03:22:28,-0400,275686563,verge,The Verge,,"Tesla delays Cybertruck to early 2023, says report  https://t.co/lrSGQaEK8s  https://t.co/ZXyIjVBQf5",en,[],['https://www.theverge.com/2022/1/13/22881646/tesla-cybertruck-production-date-2022-removed-website'],['https://pbs.twimg.com/media/FJDISkdXMAUbZDw.jpg'],28,36,336,[],[],https://twitter.com/verge/status/1481904535085928452,False,,1,https://pbs.twimg.com/media/FJDISkdXMAUbZDw.jpg,,,,,,,[],,,,
1481865047852953600,1481865047852953600,2022-01-14 00:45:33 Eastern Standard Time,2022-01-14,00:45:33,-0400,988955288,investingcom,Investing.com,,*TESLA DELAYS INITIAL PRODUCTION OF CYBERTRUCK TO EARLY 2023 - SOURCE  $TSLA  https://t.co/UEaBlCAStq,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FJCkZr3XEAEY2BE.jpg'],13,20,182,[],['tsla'],https://twitter.com/Investingcom/status/1481865047852953600,False,,1,https://pbs.twimg.com/tweet_video_thumb/FJCkZr3XEAEY2BE.jpg,,,,,,,[],,,,
1481850761856303110,1481850761856303110,2022-01-13 23:48:47 Eastern Standard Time,2022-01-13,23:48:47,-0400,1652541,reuters,Reuters,,"EXCLUSIVE: Tesla aims to start initial production of its Cybertruck by the end of the first quarter of 2023, pushing back its plan to begin production late this year. The delay comes as Tesla is changing features and functions as competition heats up  https://t.co/eS5ZuavPAE  https://t.co/EfTj36erF4",en,[],['https://reut.rs/3KdCn28'],['https://pbs.twimg.com/media/FJCXamLWUAI8QGO.jpg'],33,39,131,[],[],https://twitter.com/Reuters/status/1481850761856303110,False,,1,https://pbs.twimg.com/media/FJCXamLWUAI8QGO.jpg,,,,,,,[],,,,
1481773765784702979,1481773765784702979,2022-01-13 18:42:50 Eastern Standard Time,2022-01-13,18:42:50,-0400,262230241,nod008,NOD,,TESLA DELAYS INITIAL PRODUCTION OF CYBERTRUCK TO EARLY 2023 -SOURCE  https://t.co/WCrhFcFC0y,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FJBRYC7XwAEr5hb.jpg'],23,36,191,[],[],https://twitter.com/NOD008/status/1481773765784702979,False,,1,https://pbs.twimg.com/tweet_video_thumb/FJBRYC7XwAEr5hb.jpg,,,,,,,[],,,,
1481662299085619202,1481662299085619202,2022-01-13 11:19:54 Eastern Standard Time,2022-01-13,11:19:54,-0400,294548572,iamtomnash,Tom Nash,,Seeking alpha headline: Tesla delays cybertruck to 2023! - only problem is that Elon was saying 2023 for cybertruck for months now… pathetic,en,[],[],[],20,7,339,[],[],https://twitter.com/iamtomnash/status/1481662299085619202,False,,0,,,,,,,,[],,,,
1481592388648943618,1481328540646019074,2022-01-13 06:42:06 Eastern Standard Time,2022-01-13,06:42:06,-0400,105207637,thepolllady,The Poll Lady,,@BefittingFacts @Cokedupoptions @elonmusk @PPathole @Tesla Elon Musk blaming the Indian government over delay in Tesla entering Indian market is a big joke.   Elon just wants to reduce the import duties on teslas from China and government wants him to manufacture in India.,en,[],[],[],12,146,1458,[],[],https://twitter.com/ThePollLady/status/1481592388648943618,False,,0,,,,,,,,"[{'screen_name': 'BefittingFacts', 'name': 'Facts', 'id': '1289235667516456962'}, {'screen_name': 'Cokedupoptions', 'name': 'John W. Rich (Fake Tech Exec)', 'id': '1289342590299512832'}, {'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}, {'screen_name': 'PPathole', 'name': 'Pranay Pathole', 'id': '1291945442'}, {'screen_name': 'Tesla', 'name': 'Tesla', 'id': '13298072'}]",,,,
1477681582722932740,1477681582722932740,2022-01-02 11:41:57 Eastern Standard Time,2022-01-02,11:41:57,-0400,1045479441768566784,energyvest,energyvest 🇺🇦🦊,,"Tesla delivered *+87% deliveries growth* during 2021, despite the chip shortages, supply chain problems, delays to Berlin production start, and so on. Just incredible execution. Massive kudos to the @tesla team and @elonmusk.",en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}, {'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],[],0,5,97,[],[],https://twitter.com/energyvest/status/1477681582722932740,False,,0,,,,,,,,[],,,,
1472914850133291014,1472914850133291014,2021-12-20 08:00:40 Eastern Standard Time,2021-12-20,08:00:40,-0400,22088025,slye,Andy Slye,,With the seemingly demise of the Tesla tax credit here’s my plan  Delay/cancel my current Model Y (est March delivery)  Wait for 4680 Model Y or Roadster  Since I’m taking 5 months of parental leave I’ll be driving significantly less in 2022 so our current cars should last to ‘23,en,[],[],[],31,2,155,[],[],https://twitter.com/slye/status/1472914850133291014,False,,0,,,,,,,,[],,,,
1472187354752425989,1472176869617373184,2021-12-18 07:49:51 Eastern Standard Time,2021-12-18,07:49:51,-0400,718747351792398336,alex_avoigt,Alex,,"While many are quick to blame Germany, the reality is that some (not all) of the delays were also caused by Tesla.  Please note that Giga Berlin, with a 2-year approval process, is about 2 times faster than a similar-sized project",en,[],[],[],26,5,168,[],[],https://twitter.com/alex_avoigt/status/1472187354752425989,False,,0,,,,,,,,[],,,,
1472178237040168964,1472176869617373184,2021-12-18 07:13:38 Eastern Standard Time,2021-12-18,07:13:38,-0400,718747351792398336,alex_avoigt,Alex,,It looks like the delay this time is due to Tesla not being able to submit the required expert opinion quickly enough.  The Ministry of the Environment wants to make the permit watertight to avoid objections in court being successful and causing a production stop.,en,[],[],[],3,6,124,[],[],https://twitter.com/alex_avoigt/status/1472178237040168964,False,,0,,,,,,,,[],,,,
1470616629939736578,1470616628698222596,2021-12-13 23:48:21 Eastern Standard Time,2021-12-13,23:48:21,-0400,243013409,sawyermerritt,Sawyer Merritt 📈🚀,,Tesla making people take delivery who have been holding their orders/deliveries for 6+ months is absolutely fair. You're fortunate Tesla even allowed you to delay 10+ months.,en,[],[],[],8,3,127,[],[],https://twitter.com/SawyerMerritt/status/1470616629939736578,False,,0,,,,,,,,[],,,,
1467252280621678599,1467204113620512771,2021-12-04 16:59:38 Eastern Standard Time,2021-12-04,16:59:38,-0400,52974050,morenochris,"Chris Moreno (🏘,🏗,⛳️,🏝)",,"@mkobach Construction Tech. Generally been too costly and hard to displace incumbents due to trust and insurance for procurement teams.   With the logistics issues, delays and cost increases, this space will benefit from the “tesla” effect.",en,[],[],[],5,5,104,[],[],https://twitter.com/morenochris/status/1467252280621678599,False,,0,,,,,,,,"[{'screen_name': 'mkobach', 'name': 'Matthew Kobach', 'id': '2188509068'}]",,,,
1464328786892050435,1464327941832122368,2021-11-26 15:22:43 Eastern Standard Time,2021-11-26,15:22:43,-0400,1263491240336769026,wholemarsblog,Whole Mars Catalog,,I think that Tesla’s enemies read the contract closely and realized they could exploit it to delay 4680  so Tesla said fuck it. we’ll do it live,en,[],[],[],14,4,190,[],[],https://twitter.com/WholeMarsBlog/status/1464328786892050435,False,,0,,,,,,,,[],,,,
